Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDR)
2017 191 17250  -1836969.429   6065616.897   -716257.919     -0.557   2.268   0.291   2.559  14.122
2017 191 17280  -1836969.429   6065616.897   -716257.919     -0.735   2.268   0.291   2.559  14.122
2017 191 17310  -1836969.429   6065616.897   -716257.919     -1.101   2.268   0.291   2.559  14.122
2017 191 17340  -1836969.429   6065616.897   -716257.919     -0.682   2.268   0.291   2.559  14.121
2017 191 17370  -1836969.429   6065616.897   -716257.919     -1.133   2.268   0.291   2.559  14.120
2017 191 17400  -1836969.429   6065616.897   -716257.919     -1.101   2.268   0.291   2.559  14.119
2017 191 17430  -1836969.429   6065616.897   -716257.919     -0.335   2.268   0.291   2.559  14.117
2017 191 17460  -1836969.429   6065616.896   -716257.919     -0.328   2.268   0.291   2.559  14.115
2017 191 17490  -1836969.429   6065616.897   -716257.919     -0.445   2.268   0.291   2.558  14.114
2017 191 17520  -1836969.429   6065616.897   -716257.919     -0.650   2.268   0.291   2.558  14.112
2017 191 17550  -1836969.429   6065616.897   -716257.919     -0.536   2.268   0.291   2.558  14.110
2017 191 17580  -1836969.430   6065616.897   -716257.919     -0.363   2.268   0.291   2.558  14.108
2017 191 17610  -1836969.430   6065616.897   -716257.919     -0.638   2.268   0.290   2.558  14.107
2017 191 17640  -1836969.430   6065616.897   -716257.919     -0.168   2.268   0.290   2.558  14.106
2017 191 17670  -1836969.430   6065616.897   -716257.919     -0.508   2.268   0.291   2.558  14.105
2017 191 17700  -1836969.430   6065616.896   -716257.919     -0.052   2.268   0.291   2.559  14.106
2017 191 17730  -1836969.430   6065616.896   -716257.919     -0.698   2.268   0.291   2.559  14.105
2017 191 17760  -1836969.430   6065616.896   -716257.919     -0.644   2.268   0.291   2.559  14.104
2017 191 17790  -1836969.430   6065616.896   -716257.919     -1.129   2.268   0.292   2.559  14.103
2017 191 17820  -1836969.430   6065616.896   -716257.918     -1.269   2.268   0.292   2.559  14.100
2017 191 17850  -1836969.431   6065616.896   -716257.918     -1.193   2.268   0.292   2.560  14.098
2017 191 17880  -1836969.431   6065616.896   -716257.918     -1.160   2.268   0.292   2.560  14.097
2017 191 17910  -1836969.431   6065616.896   -716257.918     -0.907   2.268   0.292   2.560  14.095
2017 191 17940  -1836969.431   6065616.896   -716257.918     -0.943   2.268   0.292   2.560  14.095
2017 191 17970  -1836969.431   6065616.896   -716257.918     -0.556   2.268   0.292   2.560  14.094
2017 191 18000  -1836969.431   6065616.896   -716257.919     -0.815   2.268   0.292   2.560  14.093
2017 191 18030  -1836969.432   6065616.896   -716257.918     -0.583   2.268   0.292   2.560  14.093
2017 191 18060  -1836969.432   6065616.896   -716257.918     -0.689   2.268   0.293   2.560  14.093
2017 191 18090  -1836969.432   6065616.896   -716257.918     -1.155   2.268   0.293   2.561  14.093
2017 191 18120  -1836969.432   6065616.896   -716257.918     -0.824   2.268   0.294   2.562  14.090
2017 191 18150  -1836969.432   6065616.896   -716257.918     -0.787   2.268   0.294   2.562  14.090
2017 191 18180  -1836969.432   6065616.896   -716257.918     -0.611   2.268   0.294   2.562  14.088
2017 191 18210  -1836969.432   6065616.895   -716257.918     -0.459   2.268   0.295   2.562  14.086
2017 191 18240  -1836969.432   6065616.895   -716257.918     -0.441   2.268   0.295   2.563  14.084
2017 191 18270  -1836969.433   6065616.895   -716257.918     -0.470   2.268   0.295   2.563  14.081
2017 191 18300  -1836969.433   6065616.895   -716257.918     -0.543   2.268   0.295   2.563  14.079
2017 191 18330  -1836969.433   6065616.895   -716257.918     -0.758   2.268   0.296   2.563  14.076
2017 191 18360  -1836969.433   6065616.895   -716257.918     -0.496   2.268   0.296   2.563  14.074
2017 191 18390  -1836969.433   6065616.895   -716257.918     -0.820   2.268   0.296   2.564  14.072
2017 191 18420  -1836969.433   6065616.895   -716257.918     -0.881   2.268   0.296   2.564  14.072
2017 191 18450  -1836969.433   6065616.895   -716257.919     -0.615   2.268   0.296   2.564  14.070
2017 191 18480  -1836969.433   6065616.895   -716257.919     -0.361   2.268   0.296   2.564  14.069
2017 191 18510  -1836969.433   6065616.895   -716257.919     -0.672   2.268   0.297   2.564  14.068
2017 191 18540  -1836969.433   6065616.895   -716257.919     -0.491   2.268   0.297   2.565  14.067
2017 191 18570  -1836969.434   6065616.895   -716257.919     -0.315   2.268   0.297   2.565  14.066
2017 191 18600  -1836969.434   6065616.895   -716257.919     -0.682   2.268   0.297   2.565  14.066
2017 191 18630  -1836969.434   6065616.895   -716257.919     -0.623   2.268   0.297   2.565  14.064
2017 191 18660  -1836969.434   6065616.895   -716257.919     -0.367   2.268   0.298   2.565  14.064
2017 191 18690  -1836969.434   6065616.896   -716257.919     -0.095   2.268   0.298   2.565  14.065
2017 191 18720  -1836969.434   6065616.896   -716257.919     -0.017   2.268   0.297   2.565  14.066
2017 191 18750  -1836969.434   6065616.896   -716257.919     -0.361   2.268   0.297   2.565  14.065
2017 191 18780  -1836969.434   6065616.896   -716257.919     -0.657   2.268   0.297   2.565  14.064
2017 191 18810  -1836969.435   6065616.896   -716257.919     -0.308   2.268   0.297   2.565  14.063
2017 191 18840  -1836969.435   6065616.896   -716257.919     -0.601   2.268   0.297   2.565  14.062
2017 191 18870  -1836969.435   6065616.896   -716257.919     -0.657   2.268   0.297   2.565  14.062
2017 191 18900  -1836969.435   6065616.896   -716257.919     -0.338   2.268   0.297   2.565  14.061
2017 191 18930  -1836969.435   6065616.896   -716257.919     -0.454   2.268   0.297   2.564  14.062
2017 191 18960  -1836969.435   6065616.896   -716257.919     -0.534   2.268   0.296   2.564  14.064
2017 191 18990  -1836969.435   6065616.897   -716257.919     -0.351   2.268   0.296   2.564  14.065
2017 191 19020  -1836969.435   6065616.897   -716257.919     -0.303   2.268   0.296   2.564  14.065
2017 191 19050  -1836969.435   6065616.897   -716257.919     -0.278   2.268   0.296   2.564  14.065
2017 191 19080  -1836969.435   6065616.897   -716257.919     -0.881   2.268   0.296   2.564  14.065
2017 191 19110  -1836969.435   6065616.897   -716257.919     -0.724   2.268   0.296   2.564  14.064
2017 191 19140  -1836969.435   6065616.897   -716257.919     -0.932   2.268   0.296   2.563  14.064
2017 191 19170  -1836969.435   6065616.897   -716257.919     -0.638   2.268   0.296   2.563  14.065
2017 191 19200  -1836969.435   6065616.897   -716257.919     -0.110   2.268   0.296   2.563  14.062
2017 191 19230  -1836969.435   6065616.898   -716257.919     -0.361   2.268   0.296   2.563  14.060
2017 191 19260  -1836969.435   6065616.898   -716257.919     -0.374   2.268   0.296   2.563  14.059
2017 191 19290  -1836969.435   6065616.898   -716257.919     -0.340   2.268   0.295   2.563  14.058
2017 191 19320  -1836969.435   6065616.898   -716257.919     -0.367   2.268   0.295   2.563  14.057
2017 191 19350  -1836969.435   6065616.898   -716257.919     -0.653   2.268   0.295   2.563  14.056
2017 191 19380  -1836969.435   6065616.898   -716257.919     -0.499   2.268   0.295   2.563  14.056
2017 191 19410  -1836969.434   6065616.898   -716257.919     -0.477   2.268   0.295   2.563  14.056
2017 191 19440  -1836969.434   6065616.898   -716257.919     -0.433   2.268   0.295   2.563  14.055
2017 191 19470  -1836969.434   6065616.898   -716257.919      0.014   2.268   0.295   2.563  14.054
2017 191 19500  -1836969.434   6065616.898   -716257.919     -0.079   2.268   0.295   2.563  14.054
2017 191 19530  -1836969.434   6065616.898   -716257.919     -0.085   2.268   0.296   2.563  14.052
2017 191 19560  -1836969.434   6065616.898   -716257.919     -1.113   2.268   0.296   2.563  14.051
2017 191 19590  -1836969.434   6065616.899   -716257.919     -2.548   2.268   0.296   2.563  14.050
2017 191 19620  -1836969.434   6065616.899   -716257.919     -1.902   2.268   0.296   2.563  14.049
2017 191 19650  -1836969.434   6065616.899   -716257.919     -0.690   2.268   0.296   2.563  14.048
2017 191 19680  -1836969.434   6065616.899   -716257.919     -0.022   2.268   0.296   2.563  14.046
2017 191 19710  -1836969.434   6065616.899   -716257.919     -0.470   2.268   0.296   2.563  14.043
2017 191 19740  -1836969.434   6065616.899   -716257.919     -0.898   2.268   0.295   2.563  14.040
2017 191 19770  -1836969.434   6065616.899   -716257.919     -0.777   2.268   0.295   2.563  14.039
2017 191 19800  -1836969.434   6065616.900   -716257.919     -0.927   2.268   0.295   2.563  14.038
2017 191 19830  -1836969.434   6065616.900   -716257.919     -0.701   2.268   0.295   2.563  14.039
2017 191 19860  -1836969.434   6065616.900   -716257.920     -0.086   2.268   0.295   2.563  14.039
2017 191 19890  -1836969.434   6065616.900   -716257.920     -0.001   2.268   0.295   2.563  14.038
2017 191 19920  -1836969.434   6065616.900   -716257.920      0.431   2.268   0.295   2.563  14.039
2017 191 19950  -1836969.434   6065616.900   -716257.920      0.112   2.268   0.295   2.563  14.041
2017 191 19980  -1836969.434   6065616.900   -716257.920     -0.401   2.268   0.296   2.563  14.042
2017 191 20010  -1836969.434   6065616.900   -716257.920     -0.190   2.268   0.296   2.563  14.044
2017 191 20040  -1836969.434   6065616.900   -716257.920     -0.131   2.268   0.296   2.564  14.046
2017 191 20070  -1836969.434   6065616.900   -716257.920      0.240   2.268   0.296   2.564  14.049
2017 191 20100  -1836969.434   6065616.900   -716257.920     -0.011   2.268   0.296   2.564  14.051
2017 191 20130  -1836969.434   6065616.900   -716257.920      0.964   2.268   0.296   2.564  14.053
2017 191 20160  -1836969.434   6065616.900   -716257.920      0.283   2.268   0.296   2.564  14.054
2017 191 20190  -1836969.434   6065616.900   -716257.920      0.407   2.268   0.296   2.564  14.056
2017 191 20220  -1836969.434   6065616.900   -716257.920      0.263   2.268   0.297   2.564  14.056
2017 191 20250  -1836969.434   6065616.900   -716257.920     -0.925   2.268   0.297   2.565  14.056
2017 191 20280  -1836969.434   6065616.901   -716257.920     -0.594   2.268   0.297   2.565  14.054
2017 191 20310  -1836969.434   6065616.901   -716257.920     -0.904   2.268   0.297   2.565  14.053
2017 191 20340  -1836969.434   6065616.901   -716257.920     -0.396   2.268   0.298   2.565  14.052
2017 191 20370  -1836969.434   6065616.901   -716257.920      0.635   2.268   0.298   2.565  14.051
2017 191 20400  -1836969.434   6065616.901   -716257.920      0.349   2.268   0.298   2.566  14.049
2017 191 20430  -1836969.434   6065616.901   -716257.920     -0.569   2.268   0.298   2.566  14.048
2017 191 20460  -1836969.434   6065616.901   -716257.920     -0.326   2.268   0.298   2.566  14.045
2017 191 20490  -1836969.434   6065616.901   -716257.920     -0.055   2.268   0.298   2.566  14.043
2017 191 20520  -1836969.434   6065616.901   -716257.920     -0.225   2.268   0.299   2.566  14.042
2017 191 20550  -1836969.434   6065616.901   -716257.920     -0.109   2.268   0.299   2.567  14.041
2017 191 20580  -1836969.434   6065616.901   -716257.920     -0.078   2.268   0.299   2.567  14.040
2017 191 20610  -1836969.434   6065616.901   -716257.920      0.596   2.268   0.299   2.567  14.038
2017 191 20640  -1836969.434   6065616.901   -716257.920      0.329   2.268   0.299   2.567  14.037
2017 191 20670  -1836969.434   6065616.902   -716257.920      0.546   2.268   0.299   2.567  14.036
2017 191 20700  -1836969.433   6065616.902   -716257.920      0.865   2.268   0.299   2.567  14.035
2017 191 20730  -1836969.433   6065616.902   -716257.920      1.035   2.268   0.299   2.567  14.033
2017 191 20760  -1836969.433   6065616.902   -716257.920     -0.218   2.268   0.299   2.567  14.033
2017 191 20790  -1836969.433   6065616.902   -716257.920     -0.251   2.268   0.299   2.567  14.033
2017 191 20820  -1836969.433   6065616.902   -716257.920      0.691   2.268   0.299   2.567  14.034
2017 191 20850  -1836969.433   6065616.903   -716257.920     -0.367   2.268   0.299   2.567  14.034
2017 191 20880  -1836969.433   6065616.903   -716257.920     -0.170   2.268   0.299   2.567  14.034
2017 191 20910  -1836969.433   6065616.903   -716257.920      0.339   2.268   0.300   2.567  14.034
2017 191 20940  -1836969.433   6065616.903   -716257.920     -0.012   2.268   0.300   2.567  14.035
2017 191 20970  -1836969.433   6065616.903   -716257.920      0.481   2.268   0.300   2.567  14.037
2017 191 21000  -1836969.433   6065616.903   -716257.921      1.164   2.268   0.300   2.568  14.039
2017 191 21030  -1836969.433   6065616.903   -716257.921     -0.380   2.268   0.300   2.568  14.039
2017 191 21060  -1836969.433   6065616.903   -716257.921      1.564   2.268   0.300   2.568  14.040
2017 191 21090  -1836969.433   6065616.904   -716257.921      1.295   2.268   0.300   2.568  14.040
2017 191 21120  -1836969.433   6065616.904   -716257.921      1.571   2.268   0.300   2.568  14.041
2017 191 21150  -1836969.433   6065616.904   -716257.921      1.192   2.268   0.300   2.568  14.041
2017 191 21180  -1836969.433   6065616.904   -716257.921      1.039   2.268   0.300   2.567  14.043
2017 191 21210  -1836969.433   6065616.904   -716257.921      0.401   2.268   0.300   2.567  14.044
2017 191 21240  -1836969.433   6065616.904   -716257.921      0.578   2.268   0.299   2.567  14.045
2017 191 21270  -1836969.433   6065616.904   -716257.921      0.317   2.268   0.299   2.567  14.047
2017 191 21300  -1836969.433   6065616.904   -716257.921      0.510   2.268   0.299   2.567  14.048
2017 191 21330  -1836969.432   6065616.904   -716257.921      0.597   2.268   0.299   2.567  14.051
2017 191 21360  -1836969.432   6065616.903   -716257.921      0.741   2.268   0.299   2.567  14.054
2017 191 21390  -1836969.432   6065616.903   -716257.921      0.364   2.268   0.299   2.567  14.056
2017 191 21420  -1836969.432   6065616.903   -716257.921      0.296   2.268   0.299   2.566  14.058
2017 191 21450  -1836969.432   6065616.903   -716257.921      0.181   2.268   0.299   2.566  14.059
2017 191 21480  -1836969.432   6065616.903   -716257.921      0.407   2.268   0.299   2.566  14.060
2017 191 21510  -1836969.432   6065616.903   -716257.921      0.946   2.268   0.299   2.566  14.062
2017 191 21540  -1836969.432   6065616.903   -716257.921      0.871   2.268   0.299   2.566  14.062
2017 191 21570  -1836969.432   6065616.903   -716257.921      0.616   2.268   0.299   2.566  14.062
2017 191 21600  -1836969.432   6065616.903   -716257.921      0.417   2.268   0.299   2.566  14.063
2017 191 21630  -1836969.432   6065616.903   -716257.921     -0.322   2.268   0.299   2.566  14.062
2017 191 21660  -1836969.432   6065616.903   -716257.921      0.446   2.268   0.299   2.567  14.063
2017 191 21690  -1836969.432   6065616.903   -716257.921      0.320   2.268   0.299   2.567  14.062
2017 191 21720  -1836969.432   6065616.903   -716257.921      0.111   2.268   0.299   2.567  14.061
2017 191 21750  -1836969.432   6065616.903   -716257.921      0.384   2.268   0.299   2.567  14.061
2017 191 21780  -1836969.432   6065616.903   -716257.921      0.545   2.268   0.299   2.567  14.060
2017 191 21810  -1836969.432   6065616.903   -716257.921      0.762   2.268   0.299   2.566  14.060
2017 191 21840  -1836969.432   6065616.903   -716257.921      0.842   2.268   0.299   2.566  14.061
2017 191 21870  -1836969.432   6065616.903   -716257.921      0.708   2.268   0.299   2.566  14.061
2017 191 21900  -1836969.432   6065616.903   -716257.921      0.795   2.268   0.299   2.566  14.061
2017 191 21930  -1836969.432   6065616.903   -716257.921      0.407   2.268   0.299   2.566  14.061
2017 191 21960  -1836969.432   6065616.904   -716257.921      0.347   2.268   0.299   2.566  14.062
2017 191 21990  -1836969.432   6065616.904   -716257.921      0.144   2.268   0.299   2.567  14.062
2017 191 22020  -1836969.432   6065616.904   -716257.921      0.119   2.268   0.299   2.567  14.063
2017 191 22050  -1836969.432   6065616.904   -716257.921      0.448   2.268   0.299   2.567  14.063
2017 191 22080  -1836969.432   6065616.904   -716257.921      0.124   2.268   0.300   2.567  14.064
2017 191 22110  -1836969.432   6065616.904   -716257.921      0.304   2.268   0.300   2.567  14.064
2017 191 22140  -1836969.432   6065616.904   -716257.921      0.318   2.268   0.300   2.568  14.064
2017 191 22170  -1836969.432   6065616.904   -716257.921     -0.155   2.268   0.300   2.568  14.063
2017 191 22200  -1836969.432   6065616.904   -716257.921      0.355   2.268   0.300   2.568  14.062
2017 191 22230  -1836969.432   6065616.904   -716257.921      0.164   2.268   0.300   2.568  14.061
2017 191 22260  -1836969.432   6065616.904   -716257.921     -0.093   2.268   0.300   2.568  14.060
2017 191 22290  -1836969.432   6065616.904   -716257.921     -0.052   2.268   0.300   2.568  14.058
2017 191 22320  -1836969.432   6065616.904   -716257.921      0.130   2.268   0.300   2.568  14.056
2017 191 22350  -1836969.432   6065616.904   -716257.921      0.434   2.268   0.300   2.567  14.055
2017 191 22380  -1836969.432   6065616.904   -716257.921      0.091   2.268   0.300   2.567  14.054
2017 191 22410  -1836969.432   6065616.904   -716257.921      0.214   2.268   0.300   2.567  14.053
2017 191 22440  -1836969.432   6065616.904   -716257.921      0.103   2.268   0.299   2.567  14.052
2017 191 22470  -1836969.432   6065616.904   -716257.921      0.008   2.268   0.299   2.567  14.053
2017 191 22500  -1836969.432   6065616.904   -716257.921      0.191   2.268   0.299   2.567  14.054
2017 191 22530  -1836969.432   6065616.904   -716257.921      0.087   2.268   0.299   2.567  14.054
2017 191 22560  -1836969.432   6065616.905   -716257.921      0.328   2.268   0.299   2.567  14.054
2017 191 22590  -1836969.432   6065616.905   -716257.921      0.301   2.268   0.299   2.567  14.054
2017 191 22620  -1836969.432   6065616.905   -716257.921      0.245   2.268   0.299   2.567  14.054
2017 191 22650  -1836969.432   6065616.905   -716257.921      0.203   2.268   0.299   2.567  14.054
2017 191 22680  -1836969.432   6065616.905   -716257.921      0.304   2.268   0.299   2.566  14.054
2017 191 22710  -1836969.432   6065616.905   -716257.921      0.679   2.268   0.299   2.566  14.054
2017 191 22740  -1836969.432   6065616.905   -716257.921      0.510   2.268   0.299   2.566  14.053
2017 191 22770  -1836969.432   6065616.905   -716257.921      0.348   2.268   0.299   2.566  14.051
2017 191 22800  -1836969.432   6065616.905   -716257.921      0.045   2.268   0.299   2.566  14.051
2017 191 22830  -1836969.432   6065616.905   -716257.921     -0.061   2.268   0.299   2.566  14.050
2017 191 22860  -1836969.432   6065616.905   -716257.921     -0.129   2.268   0.299   2.566  14.049
2017 191 22890  -1836969.432   6065616.906   -716257.921      0.114   2.268   0.298   2.566  14.048
2017 191 22920  -1836969.432   6065616.906   -716257.921     -0.147   2.268   0.299   2.566  14.047
2017 191 22950  -1836969.432   6065616.906   -716257.921      0.366   2.268   0.299   2.566  14.046
2017 191 22980  -1836969.432   6065616.906   -716257.921     -0.114   2.268   0.298   2.566  14.046
2017 191 23010  -1836969.432   6065616.906   -716257.921      0.196   2.268   0.298   2.566  14.046
2017 191 23040  -1836969.432   6065616.906   -716257.921     -0.201   2.268   0.298   2.566  14.044
2017 191 23070  -1836969.432   6065616.906   -716257.921     -0.194   2.268   0.298   2.566  14.043
2017 191 23100  -1836969.432   6065616.906   -716257.921      0.013   2.268   0.298   2.566  14.042
2017 191 23130  -1836969.432   6065616.906   -716257.921     -0.020   2.268   0.298   2.566  14.041
2017 191 23160  -1836969.432   6065616.906   -716257.922      0.037   2.268   0.299   2.566  14.040
2017 191 23190  -1836969.432   6065616.906   -716257.922      0.249   2.268   0.299   2.566  14.040
2017 191 23220  -1836969.432   6065616.906   -716257.922      0.108   2.268   0.299   2.566  14.040
2017 191 23250  -1836969.432   6065616.906   -716257.922     -0.161   2.268   0.299   2.566  14.040
2017 191 23280  -1836969.432   6065616.907   -716257.922      0.175   2.268   0.299   2.567  14.038
2017 191 23310  -1836969.432   6065616.907   -716257.922      0.241   2.268   0.299   2.567  14.036
2017 191 23340  -1836969.432   6065616.907   -716257.922     -0.031   2.268   0.299   2.567  14.035
2017 191 23370  -1836969.432   6065616.907   -716257.922     -0.021   2.268   0.300   2.567  14.034
2017 191 23400  -1836969.432   6065616.907   -716257.922     -0.121   2.268   0.300   2.568  14.034
2017 191 23430  -1836969.432   6065616.907   -716257.922     -0.242   2.268   0.300   2.568  14.033
2017 191 23460  -1836969.432   6065616.907   -716257.922      0.236   2.268   0.300   2.568  14.033
2017 191 23490  -1836969.432   6065616.908   -716257.922      0.317   2.268   0.301   2.568  14.032
2017 191 23520  -1836969.432   6065616.908   -716257.922     -0.231   2.268   0.301   2.569  14.033
2017 191 23550  -1836969.432   6065616.908   -716257.922     -0.123   2.268   0.301   2.569  14.034
2017 191 23580  -1836969.432   6065616.908   -716257.922      0.024   2.268   0.301   2.569  14.035
2017 191 23610  -1836969.432   6065616.908   -716257.922     -0.246   2.268   0.301   2.569  14.036
2017 191 23640  -1836969.432   6065616.908   -716257.922     -0.247   2.268   0.302   2.569  14.038
2017 191 23670  -1836969.432   6065616.909   -716257.922     -0.143   2.268   0.302   2.570  14.038
2017 191 23700  -1836969.432   6065616.909   -716257.922     -0.151   2.268   0.302   2.570  14.039
2017 191 23730  -1836969.432   6065616.909   -716257.922     -0.139   2.268   0.302   2.570  14.039
2017 191 23760  -1836969.432   6065616.909   -716257.922     -0.396   2.268   0.302   2.570  14.038
2017 191 23790  -1836969.432   6065616.909   -716257.922     -0.510   2.268   0.303   2.570  14.037
2017 191 23820  -1836969.432   6065616.909   -716257.922     -0.101   2.268   0.303   2.570  14.036
2017 191 23850  -1836969.432   6065616.909   -716257.922     -0.320   2.268   0.302   2.570  14.035
2017 191 23880  -1836969.432   6065616.909   -716257.922     -0.124   2.268   0.302   2.570  14.035
2017 191 23910  -1836969.432   6065616.909   -716257.921     -0.107   2.268   0.302   2.570  14.033
2017 191 23940  -1836969.432   6065616.910   -716257.921     -0.484   2.268   0.302   2.570  14.033
2017 191 23970  -1836969.432   6065616.910   -716257.921     -0.482   2.268   0.302   2.570  14.033
2017 191 24000  -1836969.432   6065616.910   -716257.921     -0.178   2.268   0.302   2.570  14.034
2017 191 24030  -1836969.432   6065616.910   -716257.921     -0.089   2.268   0.302   2.569  14.033
2017 191 24060  -1836969.432   6065616.910   -716257.921      0.133   2.268   0.301   2.569  14.032
2017 191 24090  -1836969.432   6065616.910   -716257.921     -0.123   2.268   0.301   2.569  14.032
2017 191 24120  -1836969.432   6065616.910   -716257.921     -0.034   2.268   0.301   2.569  14.031
2017 191 24150  -1836969.432   6065616.911   -716257.921     -0.167   2.268   0.301   2.568  14.031
2017 191 24180  -1836969.432   6065616.911   -716257.921      0.061   2.268   0.301   2.568  14.031
2017 191 24210  -1836969.432   6065616.911   -716257.921     -0.317   2.268   0.300   2.568  14.032
2017 191 24240  -1836969.432   6065616.911   -716257.921     -0.071   2.268   0.300   2.568  14.033
2017 191 24270  -1836969.432   6065616.912   -716257.922     -0.116   2.268   0.300   2.568  14.034
2017 191 24300  -1836969.432   6065616.912   -716257.922      0.155   2.268   0.300   2.568  14.034
2017 191 24330  -1836969.432   6065616.912   -716257.922     -0.016   2.268   0.300   2.568  14.035
2017 191 24360  -1836969.432   6065616.912   -716257.922      0.108   2.268   0.300   2.568  14.034
2017 191 24390  -1836969.432   6065616.912   -716257.922     -0.067   2.268   0.300   2.568  14.035
2017 191 24420  -1836969.432   6065616.913   -716257.922     -0.147   2.268   0.300   2.568  14.035
2017 191 24450  -1836969.432   6065616.913   -716257.922     -0.386   2.268   0.300   2.568  14.034
2017 191 24480  -1836969.432   6065616.913   -716257.922      0.087   2.268   0.300   2.568  14.033
2017 191 24510  -1836969.432   6065616.913   -716257.922      0.133   2.268   0.300   2.568  14.032
2017 191 24540  -1836969.432   6065616.913   -716257.922     -0.044   2.268   0.300   2.568  14.031
2017 191 24570  -1836969.432   6065616.913   -716257.922      0.351   2.268   0.300   2.568  14.031
2017 191 24600  -1836969.432   6065616.913   -716257.922      0.025   2.268   0.301   2.568  14.029
2017 191 24630  -1836969.431   6065616.914   -716257.922      0.482   2.268   0.301   2.569  14.029
2017 191 24660  -1836969.431   6065616.914   -716257.922      0.235   2.268   0.301   2.569  14.027
2017 191 24690  -1836969.431   6065616.914   -716257.922      0.254   2.268   0.301   2.569  14.027
2017 191 24720  -1836969.431   6065616.914   -716257.922      0.173   2.268   0.302   2.569  14.026
2017 191 24750  -1836969.431   6065616.914   -716257.922      0.107   2.268   0.302   2.569  14.025
2017 191 24780  -1836969.431   6065616.914   -716257.922      0.106   2.268   0.302   2.569  14.024
2017 191 24810  -1836969.431   6065616.914   -716257.922      0.429   2.268   0.302   2.570  14.022
2017 191 24840  -1836969.431   6065616.914   -716257.922      0.302   2.268   0.302   2.570  14.022
2017 191 24870  -1836969.431   6065616.915   -716257.922     -0.211   2.268   0.302   2.570  14.024
2017 191 24900  -1836969.431   6065616.915   -716257.922      0.387   2.268   0.302   2.570  14.026
2017 191 24930  -1836969.431   6065616.915   -716257.922      0.064   2.268   0.302   2.570  14.027
2017 191 24960  -1836969.431   6065616.915   -716257.922      0.037   2.268   0.302   2.570  14.026
2017 191 24990  -1836969.431   6065616.915   -716257.922      0.261   2.268   0.303   2.570  14.025
2017 191 25020  -1836969.431   6065616.915   -716257.922     -0.026   2.268   0.303   2.571  14.024
2017 191 25050  -1836969.431   6065616.915   -716257.922      0.011   2.268   0.303   2.571  14.022
2017 191 25080  -1836969.431   6065616.915   -716257.922      0.030   2.268   0.303   2.571  14.021
2017 191 25110  -1836969.431   6065616.915   -716257.922      0.211   2.268   0.304   2.571  14.020
2017 191 25140  -1836969.431   6065616.915   -716257.922      0.182   2.268   0.304   2.571  14.019
2017 191 25170  -1836969.431   6065616.916   -716257.922      0.187   2.268   0.304   2.571  14.019
2017 191 25200  -1836969.431   6065616.916   -716257.922      0.388   2.268   0.304   2.572  14.018
2017 191 25230  -1836969.431   6065616.916   -716257.922      0.421   2.268   0.304   2.572  14.018
2017 191 25260  -1836969.431   6065616.916   -716257.922      0.260   2.268   0.304   2.572  14.018
2017 191 25290  -1836969.430   6065616.916   -716257.922     -0.133   2.268   0.304   2.572  14.017
2017 191 25320  -1836969.430   6065616.916   -716257.922     -0.280   2.268   0.304   2.572  14.016
2017 191 25350  -1836969.430   6065616.916   -716257.922     -0.001   2.268   0.304   2.572  14.014
2017 191 25380  -1836969.430   6065616.916   -716257.922     -0.012   2.268   0.304   2.572  14.013
2017 191 25410  -1836969.430   6065616.916   -716257.922      0.368   2.268   0.304   2.571  14.011
2017 191 25440  -1836969.430   6065616.916   -716257.922     -0.122   2.268   0.304   2.571  14.010
2017 191 25470  -1836969.430   6065616.916   -716257.922     -0.112   2.268   0.303   2.571  14.009
2017 191 25500  -1836969.430   6065616.916   -716257.922      0.052   2.268   0.303   2.571  14.009
2017 191 25530  -1836969.430   6065616.916   -716257.922      0.092   2.268   0.303   2.571  14.008
2017 191 25560  -1836969.430   6065616.916   -716257.922      0.420   2.268   0.303   2.571  14.008
2017 191 25590  -1836969.430   6065616.916   -716257.922      0.059   2.268   0.303   2.571  14.008
2017 191 25620  -1836969.430   6065616.916   -716257.922      0.186   2.268   0.303   2.571  14.008
2017 191 25650  -1836969.430   6065616.916   -716257.922     -0.577   2.268   0.303   2.570  14.009
2017 191 25680  -1836969.430   6065616.916   -716257.922     -1.404   2.268   0.303   2.570  14.008
2017 191 25710  -1836969.430   6065616.917   -716257.922     -1.211   2.268   0.303   2.570  14.008
2017 191 25740  -1836969.430   6065616.917   -716257.922     -1.024   2.268   0.302   2.570  14.009
2017 191 25770  -1836969.430   6065616.917   -716257.922     -0.751   2.268   0.302   2.570  14.010
2017 191 25800  -1836969.430   6065616.917   -716257.922     -0.306   2.268   0.302   2.570  14.011
2017 191 25830  -1836969.430   6065616.917   -716257.922     -0.436   2.268   0.302   2.569  14.012
2017 191 25860  -1836969.430   6065616.917   -716257.922     -0.890   2.268   0.301   2.569  14.012
2017 191 25890  -1836969.430   6065616.917   -716257.922     -0.908   2.268   0.301   2.569  14.013
2017 191 25920  -1836969.430   6065616.917   -716257.922     -1.227   2.268   0.301   2.569  14.013
2017 191 25950  -1836969.430   6065616.917   -716257.922     -1.150   2.268   0.301   2.568  14.014
2017 191 25980  -1836969.430   6065616.917   -716257.922     -0.407   2.268   0.300   2.568  14.014
2017 191 26010  -1836969.430   6065616.917   -716257.922     -0.253   2.268   0.300   2.568  14.013
