Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDR)
2017 191  2010  -1836969.444   6065616.942   -716257.929      0.564   2.268   0.262   2.529  14.033
2017 191  2040  -1836969.436   6065616.941   -716257.928      0.576   2.268   0.261   2.529  14.036
2017 191  2070  -1836969.428   6065616.940   -716257.927      1.171   2.268   0.261   2.529  14.039
2017 191  2100  -1836969.428   6065616.943   -716257.928      0.922   2.268   0.261   2.529  14.044
2017 191  2130  -1836969.429   6065616.943   -716257.928      0.612   2.268   0.262   2.529  14.047
2017 191  2160  -1836969.429   6065616.945   -716257.929      0.774   2.268   0.262   2.530  14.051
2017 191  2190  -1836969.429   6065616.945   -716257.928      0.981   2.268   0.263   2.530  14.054
2017 191  2220  -1836969.429   6065616.948   -716257.928      0.796   2.268   0.263   2.530  14.057
2017 191  2250  -1836969.429   6065616.948   -716257.928      0.632   2.268   0.263   2.531  14.060
2017 191  2280  -1836969.429   6065616.949   -716257.928     -0.286   2.268   0.263   2.531  14.063
2017 191  2310  -1836969.429   6065616.948   -716257.928      0.123   2.268   0.264   2.532  14.067
2017 191  2340  -1836969.429   6065616.946   -716257.928      0.403   2.268   0.265   2.533  14.070
2017 191  2370  -1836969.430   6065616.948   -716257.928      0.733   2.268   0.265   2.533  14.074
2017 191  2400  -1836969.431   6065616.950   -716257.929      0.368   2.268   0.265   2.532  14.078
2017 191  2430  -1836969.433   6065616.950   -716257.928     -0.060   2.268   0.265   2.533  14.080
2017 191  2460  -1836969.431   6065616.950   -716257.928      0.136   2.268   0.265   2.533  14.082
2017 191  2490  -1836969.432   6065616.949   -716257.928      0.412   2.268   0.265   2.533  14.086
2017 191  2520  -1836969.431   6065616.952   -716257.928      0.323   2.268   0.265   2.533  14.089
2017 191  2550  -1836969.432   6065616.952   -716257.928      0.632   2.268   0.265   2.533  14.093
2017 191  2580  -1836969.431   6065616.953   -716257.928      0.866   2.268   0.265   2.533  14.097
2017 191  2610  -1836969.431   6065616.952   -716257.928      0.832   2.268   0.266   2.534  14.100
2017 191  2640  -1836969.430   6065616.953   -716257.928      1.224   2.268   0.266   2.534  14.103
2017 191  2670  -1836969.432   6065616.954   -716257.928      1.411   2.268   0.267   2.534  14.107
2017 191  2700  -1836969.432   6065616.956   -716257.928      1.259   2.268   0.266   2.534  14.111
2017 191  2730  -1836969.432   6065616.959   -716257.928      1.797   2.268   0.266   2.534  14.115
2017 191  2760  -1836969.432   6065616.961   -716257.929      0.950   2.268   0.266   2.533  14.118
2017 191  2790  -1836969.432   6065616.961   -716257.929     -0.133   2.268   0.266   2.533  14.119
2017 191  2820  -1836969.432   6065616.963   -716257.930     -0.523   2.268   0.266   2.533  14.121
2017 191  2850  -1836969.432   6065616.963   -716257.931     -0.155   2.268   0.266   2.534  14.124
2017 191  2880  -1836969.432   6065616.963   -716257.931      0.497   2.268   0.266   2.534  14.126
2017 191  2910  -1836969.430   6065616.963   -716257.931     -0.068   2.268   0.267   2.535  14.128
2017 191  2940  -1836969.430   6065616.963   -716257.931      0.110   2.268   0.268   2.535  14.131
2017 191  2970  -1836969.430   6065616.963   -716257.931      0.262   2.268   0.268   2.536  14.134
2017 191  3000  -1836969.429   6065616.963   -716257.931      1.269   2.268   0.269   2.537  14.136
2017 191  3030  -1836969.428   6065616.963   -716257.932      1.100   2.268   0.270   2.538  14.139
2017 191  3060  -1836969.428   6065616.963   -716257.932      1.200   2.268   0.270   2.538  14.142
2017 191  3090  -1836969.428   6065616.963   -716257.932      1.053   2.268   0.271   2.539  14.146
2017 191  3120  -1836969.428   6065616.963   -716257.933      0.919   2.268   0.271   2.539  14.149
2017 191  3150  -1836969.428   6065616.963   -716257.933      1.235   2.268   0.272   2.539  14.151
2017 191  3180  -1836969.428   6065616.963   -716257.933      0.926   2.268   0.272   2.540  14.154
2017 191  3210  -1836969.427   6065616.964   -716257.933      1.130   2.268   0.272   2.540  14.158
2017 191  3240  -1836969.427   6065616.964   -716257.934      0.932   2.268   0.272   2.540  14.161
2017 191  3270  -1836969.426   6065616.965   -716257.934      0.832   2.268   0.272   2.539  14.164
2017 191  3300  -1836969.426   6065616.964   -716257.934      0.969   2.268   0.272   2.540  14.167
2017 191  3330  -1836969.425   6065616.963   -716257.935      0.397   2.268   0.272   2.540  14.170
2017 191  3360  -1836969.424   6065616.962   -716257.934      1.052   2.268   0.273   2.540  14.173
2017 191  3390  -1836969.423   6065616.962   -716257.934      0.519   2.268   0.273   2.541  14.176
2017 191  3420  -1836969.422   6065616.961   -716257.934      1.334   2.268   0.273   2.541  14.178
2017 191  3450  -1836969.422   6065616.960   -716257.934      1.128   2.268   0.274   2.541  14.181
2017 191  3480  -1836969.421   6065616.959   -716257.934      1.083   2.268   0.274   2.542  14.184
2017 191  3510  -1836969.420   6065616.959   -716257.934      0.746   2.268   0.274   2.542  14.189
2017 191  3540  -1836969.419   6065616.958   -716257.934      0.521   2.268   0.275   2.543  14.185
2017 191  3570  -1836969.418   6065616.958   -716257.934      1.071   2.268   0.275   2.543  14.189
2017 191  3600  -1836969.417   6065616.957   -716257.934      1.055   2.268   0.275   2.543  14.192
2017 191  3630  -1836969.416   6065616.956   -716257.934      1.377   2.268   0.276   2.544  14.195
2017 191  3660  -1836969.415   6065616.956   -716257.934      1.162   2.268   0.276   2.544  14.197
2017 191  3690  -1836969.414   6065616.955   -716257.935      1.307   2.268   0.276   2.544  14.200
2017 191  3720  -1836969.413   6065616.955   -716257.935      1.373   2.268   0.277   2.544  14.203
2017 191  3750  -1836969.412   6065616.955   -716257.935      1.309   2.268   0.277   2.545  14.205
2017 191  3780  -1836969.411   6065616.954   -716257.935      0.901   2.268   0.277   2.545  14.208
2017 191  3810  -1836969.410   6065616.953   -716257.935      1.195   2.268   0.277   2.545  14.211
2017 191  3840  -1836969.409   6065616.953   -716257.935      0.958   2.268   0.278   2.545  14.214
